id,page,n,c1,c2,c3,c4
220,8,3,#B90078,#D99E73,#9C52F2,
221,8,3,#A10B2B,#B5D1CC,#000000,
222,8,3,#E0B81F,#FF8C00,#C05200,
223,8,3,#B08699,#D99E73,#B5FFC2,
224,8,3,#FF4DC9,#417777,#6B2E63,
225,8,3,#D60036,#00592E,#53225C,
226,8,3,#5C2C45,#FFB852,#2619D1,
227,8,3,#FFB3F0,#A6E6DB,#29BDAD,
228,8,3,#A10B2B,#FFF59E,#B5D1CC,
229,8,3,#FA9442,#172713,#B5D1CC,
230,8,3,#FF616B,#B5FFC2,#94FF94,
231,8,3,#E6ADCF,#681916,#4F8FE6,
232,8,3,#D60036,#F2AD78,#000831,
233,8,3,#A10B2B,#888D2A,#202D85,
234,8,3,#FFBF6E,#5E4017,#ABF5ED,
235,8,3,#EBD999,#FF8C00,#BFABCC,
236,8,3,#B68400,#0024CC,#754260,
237,8,3,#A10B2B,#651300,#96BFE6,
238,8,3,#D99E73,#340059,#9CB29E,
239,8,3,#B08699,#C4BF33,#B3E8C2,
240,8,3,#FF788C,#FFFF00,#29BDAD,
241,8,4,#E81900,#FFF59E,#C3A55C,#417777
242,8,4,#FF5EC4,#A93400,#1B8E13,#000000
243,8,4,#B85E00,#EBD999,#58771E,#1B3644
244,8,4,#B08699,#C74300,#5C8A73,#008AA1
245,8,4,#A10B2B,#6EA900,#0D2B52,#1B3644
246,9,4,#FFA6D9,#A32100,#F5F5B8,#FFBF6E
247,9,4,#B85E00,#FFE600,#00D973,#0024CC
248,9,4,#FF5EC4,#B68400,#B8B8FF,#53225C
249,9,4,#681916,#C0B490,#D1BD19,#417777
250,9,4,#C4BF33,#FF3319,#33FF7D,#BFFFE6
251,9,4,#A10045,#FFFF00,#1B8E13,#1B3644
252,9,4,#E62E73,#B85E00,#BAA600,#2DBC94
253,9,4,#F2FF26,#FF7340,#340059,#1B3644
254,9,4,#FFA6D9,#F5F5B8,#718600,#CC85D1
255,9,4,#B85E00,#C4BF33,#80FFCC,#000000
256,9,4,#F59994,#FF5200,#19CC33,#000000
257,9,4,#F20000,#FFAB00,#0D75FF,#9C52F2
258,9,4,#730F1F,#F2AD78,#718600,#008AA1
259,9,4,#F2FF26,#2DBC94,#0057BA,#9CB29E
260,9,4,#D94D99,#F59994,#B3E8C2,#33FF7D
261,9,4,#A10045,#FFF59E,#80FFCC,#9CB29E
262,9,4,#E62E73,#EBD999,#A3AD00,#328E13
263,9,4,#A93400,#F2AD78,#B5FFC2,#1B3644
264,9,4,#FFA6D9,#E81900,#B3D9A3,#29BDAD
265,9,4,#D94D99,#FFE600,#99B333,#06004F
266,9,4,#F20000,#EBD999,#85B857,#00D973
267,9,4,#FFB852,#FF8C00,#00D973,#0D75FF
268,9,4,#B08699,#B85E00,#172713,#BFFFE6
269,9,4,#B85E00,#730F1F,#9C52F2,#000000
270,9,4,#E62E73,#F5F5B8,#58771E,#328E13
271,9,4,#B90078,#94FF94,#2DBC94,#0F261F
272,9,4,#FFF59E,#FF5200,#B5FFC2,#96BFE6
273,9,4,#FFB3F0,#6F0043,#9B5348,#B5D1CC
274,9,4,#FF3319,#7E8743,#4F8FE6,#9161F2
275,9,4,#C9303E,#C0B490,#651300,#6B2E63
276,9,4,#FF5EC4,#FFCFC4,#A6FF47,#000000
277,9,4,#FF4DC9,#B319AB,#718600,#06004F
278,9,4,#FFB852,#D1BD19,#328E13,#00592E
